codigo_docente,nome_docente
2065862,Sandra Lucia Amaral de Assis Reimão
691878,Jane Aparecida Marques
2065862,Sandra Lucia Amaral de Assis Reimão
1409522,Maria Elena Infante Malachias
1606310,Paulo Rogério Miranda Correia
2546570,Alex Antonio Florindo
161192,Beatriz Aparecida Ozello Gutierrez
7779008,Francisca Dantas Mendes
236942,Andrea Leite Rodrigues
217892,Eduardo Sanovicz
1080534,Homero Fonseca Filho
691878,Jane Aparecida Marques
2065862,Sandra Lucia Amaral de Assis Reimão
196611,Adriana Pedrosa Biscaia Tufaile
2872716,Diego Antonio Falceta Gonçalves
2527616,Regina Maura de Miranda
4975610,Marcos Roberto Luppe
6618816,Marcelo Fantinato
1364328,Marcelo Morandini
1794311,Reinaldo Tadeu Boscolo Pacheco
2191255,Ricardo Ricci Uvinha
2191255,Ricardo Ricci Uvinha
5329829,Antonio Carlos Sarti
1638692,Marcelo Saldanha Aoki
3785714,Alexandre Panosso Netto
5329829,Antonio Carlos Sarti
3785714,Alexandre Panosso Netto
4811304,Marco Antonio Bettine de Almeida
4811304,Marco Antonio Bettine de Almeida
4811304,Marco Antonio Bettine de Almeida
1638692,Marcelo Saldanha Aoki
5997291,Elizabete Franco Cruz
799735,Luiz Paulo Moura Andrioli
3164916,Tiago Mauricio Francoy
